Company Name,Product Name,Price,Quantity,Total Value,Date of Sale,Category,Region,Payment Method,Discount,Sales Representative,Sales Channel,Promotion,Product Category,Month of Sale,Revenue
Alexander PLC,Industry Indicate,327.35,41,13421.35,2025-02-20,Acessórios,Sul,Cartão de Crédito,5,Alan Moore,Online,Promoção de Natal,Roupas,2,13421.35
Cox-Raymond,Charge Try,139.14,87,12105.18,2025-02-08,Eletrônicos,Nordeste,Boleto,20,Patrick Wyatt,Loja Física,Black Friday,Saúde e Beleza,2,12105.179999999998
"Hansen, Robinson and Hall",Candidate Ever,134.86,92,12407.12,2025-01-07,Alimentos,Sul,Pix,0,Allison Reyes,Telemarketing,Black Friday,Eletrônicos,1,12407.12
Turner-Morrow,Three Sign,373.46,94,35105.24,2025-01-03,Eletrônicos,Rio de Janeiro,Cartão de Crédito,20,Megan Jones,Loja Física,Promoção de Natal,Roupas,1,35105.24
Blankenship-Griffin,Red Color,273.55,22,6018.1,2025-01-29,Moda,Rio de Janeiro,Cartão de Crédito,20,Catherine Hahn,Telemarketing,Nenhuma,Saúde e Beleza,1,6018.1
Cooper LLC,Tough Clear,467.27,85,39717.95,2025-01-16,Moda,Sul,Pix,20,Donna Lee,Telemarketing,Nenhuma,Saúde e Beleza,1,39717.95
Robles-Butler,Anything Carry,24.98,2,49.96,2025-02-10,Eletrônicos,Rio de Janeiro,Boleto,0,Sherry Andrews,Loja Física,Nenhuma,Roupas,2,49.96
Payne Group,Article Rather,44.41,93,4130.13,2025-02-03,Moda,Nordeste,Cartão de Crédito,20,Dr. Nicole Richards,Telemarketing,Black Friday,Eletrônicos,2,4130.13
Buckley Group,Share My,242.38,56,13573.28,2025-01-20,Moda,Sul,Dinheiro,20,Diane Villarreal,Loja Física,Promoção de Natal,Saúde e Beleza,1,13573.279999999999
"Werner, Peters and Burns",Respond Bed,170.89,44,7519.16,2025-01-08,Moda,Nordeste,Cartão de Crédito,5,Angela Cohen,Online,Nenhuma,Saúde e Beleza,1,7519.16
Jordan-Graham,Official Ever,301.1,25,7527.5,2025-02-03,Acessórios,Rio de Janeiro,Pix,5,Curtis Rios,Loja Física,Liquidação de Verão,Saúde e Beleza,2,7527.500000000001
"Armstrong, Johnson and Mendez",Beyond Reality,491.17,49,24067.33,2025-01-10,Alimentos,Nordeste,Boleto,10,Christopher Stewart,Telemarketing,Nenhuma,Roupas,1,24067.33
"Morgan, Rosales and Cruz",Fill Several,380.08,37,14062.96,2025-02-23,Eletrônicos,Sul,Dinheiro,10,James Morris,Loja Física,Black Friday,Roupas,2,14062.96
"Adams, Robinson and Mckinney",Upon Meeting,116.15,77,8943.55,2025-01-19,Eletrônicos,Nordeste,Cartão de Crédito,5,Jacqueline Bullock,Online,Black Friday,Saúde e Beleza,1,8943.550000000001
Tyler-Evans,Star Rate,30.61,37,1132.57,2025-02-13,Alimentos,Nordeste,Boleto,20,Shannon Williams,Telemarketing,Black Friday,Casa e Decoração,2,1132.57
Salazar LLC,Model Woman,461.1,39,17982.9,2025-02-24,Acessórios,Nordeste,Cartão de Crédito,5,Cynthia Kelley,Loja Física,Liquidação de Verão,Eletrônicos,2,17982.9
Mcclure and Sons,Reduce Address,151.83,20,3036.6,2025-02-19,Acessórios,Sul,Boleto,0,Gregory Diaz,Online,Promoção de Natal,Casa e Decoração,2,3036.6000000000004
Perkins PLC,Article Conference,335.56,46,15435.76,2025-02-16,Eletrônicos,Nordeste,Pix,5,Teresa Johnson,Online,Promoção de Natal,Eletrônicos,2,15435.76
"Rivera, Brown and Ball",Identify Product,148.76,19,2826.44,2025-01-14,Acessórios,Rio de Janeiro,Pix,10,Melissa Ortiz,Telemarketing,Liquidação de Verão,Saúde e Beleza,1,2826.4399999999996
Jefferson-Gonzalez,Reveal Deep,165.32,9,1487.88,2025-02-14,Moda,São Paulo,Pix,0,Barry Hopkins,Online,Liquidação de Verão,Roupas,2,1487.8799999999999
Peters-Walls,Drive Where,38.73,93,3601.89,2025-02-06,Eletrônicos,Sul,Cartão de Crédito,10,Joseph Curtis,Telemarketing,Liquidação de Verão,Eletrônicos,2,3601.89
"Hamilton, Manning and Fisher",Assume Human,456.18,18,8211.24,2025-01-08,Moda,Sul,Pix,20,Joseph Briggs,Loja Física,Liquidação de Verão,Eletrônicos,1,8211.24
Powell-Mack,Tonight Necessary,328.44,43,14122.92,2025-02-20,Moda,Nordeste,Dinheiro,0,George Anderson,Telemarketing,Promoção de Natal,Eletrônicos,2,14122.92
Gordon-French,Sport Matter,450.27,37,16659.99,2025-02-01,Alimentos,Nordeste,Cartão de Crédito,10,Amy Sullivan,Telemarketing,Liquidação de Verão,Casa e Decoração,2,16659.989999999998
Middleton Inc,Explain Above,232.53,35,8138.55,2025-02-02,Moda,Sul,Pix,0,Kimberly Dudley,Online,Promoção de Natal,Saúde e Beleza,2,8138.55
"Davis, Crosby and Robinson",Same Thus,72.75,10,727.5,2025-02-17,Moda,São Paulo,Pix,5,Audrey Ortega,Online,Promoção de Natal,Roupas,2,727.5
Shepherd PLC,Seek Recently,226.57,39,8836.23,2025-01-03,Alimentos,São Paulo,Boleto,10,Adam Woodard,Telemarketing,Liquidação de Verão,Casa e Decoração,1,8836.23
Owen-Taylor,Performance Analysis,83.12,93,7730.16,2025-01-16,Alimentos,Rio de Janeiro,Cartão de Crédito,5,Daryl Shea,Loja Física,Promoção de Natal,Casa e Decoração,1,7730.160000000001
Holmes-Black,Order Home,94.14,54,5083.56,2025-01-13,Eletrônicos,Rio de Janeiro,Pix,0,Debra Russell,Loja Física,Black Friday,Saúde e Beleza,1,5083.56
"Schmidt, Harris and Manning",Two Treatment,129.82,10,1298.2,2025-02-24,Eletrônicos,Nordeste,Cartão de Crédito,5,Annette Smith,Online,Promoção de Natal,Saúde e Beleza,2,1298.1999999999998
Nguyen-Boyd,Order So,388.43,56,21752.08,2025-02-19,Moda,Sul,Pix,5,Paul Rodriguez,Online,Nenhuma,Saúde e Beleza,2,21752.08
Drake Inc,Bag Sea,156.46,48,7510.08,2025-01-30,Eletrônicos,Nordeste,Dinheiro,20,Joshua Martin,Online,Liquidação de Verão,Eletrônicos,1,7510.08
Sawyer-Chen,He Dream,239.91,13,3118.83,2025-01-01,Eletrônicos,Rio de Janeiro,Dinheiro,0,Robert Miller,Telemarketing,Nenhuma,Saúde e Beleza,1,3118.83
Franklin-Daniels,Cultural Science,413.97,98,40569.06,2025-01-31,Alimentos,Nordeste,Boleto,5,Steven Kemp,Online,Nenhuma,Casa e Decoração,1,40569.060000000005
Lopez-Long,North Evidence,184.73,41,7573.93,2025-02-18,Alimentos,São Paulo,Boleto,10,Robert Reynolds,Telemarketing,Nenhuma,Eletrônicos,2,7573.929999999999
Ellison-Crane,Suffer Food,445.58,29,12921.82,2025-02-18,Eletrônicos,Sul,Pix,0,Kari Logan,Online,Black Friday,Eletrônicos,2,12921.82
"Anderson, Randall and Ramos",Other Also,443.73,9,3993.57,2025-01-14,Alimentos,Rio de Janeiro,Dinheiro,0,Jennifer Ward,Loja Física,Promoção de Natal,Casa e Decoração,1,3993.57
"Atkinson, Barrera and Bender",Rich Take,216.01,17,3672.17,2025-02-11,Acessórios,Sul,Pix,20,Nicole Edwards,Telemarketing,Liquidação de Verão,Casa e Decoração,2,3672.17
"House, Frazier and Hughes",Success Professional,363.08,8,2904.64,2025-01-08,Alimentos,Nordeste,Boleto,5,Amanda Garcia,Loja Física,Liquidação de Verão,Casa e Decoração,1,2904.64
Hughes and Sons,In Both,419.72,66,27701.52,2025-02-24,Acessórios,São Paulo,Boleto,5,Katie Fisher,Loja Física,Nenhuma,Casa e Decoração,2,27701.52
Brooks PLC,Base Cause,297.09,22,6535.98,2025-01-20,Eletrônicos,Nordeste,Cartão de Crédito,0,Jared Bates,Online,Nenhuma,Eletrônicos,1,6535.98
"Wang, Davis and Shaffer",Develop Question,147.98,91,13466.18,2025-02-04,Alimentos,Sul,Pix,20,Jennifer Perez,Loja Física,Promoção de Natal,Saúde e Beleza,2,13466.179999999998
"Garcia, Moreno and Lewis",Natural Trial,398.03,66,26269.98,2025-01-15,Moda,Sul,Dinheiro,10,Paul Leach,Loja Física,Liquidação de Verão,Roupas,1,26269.98
Steele Ltd,Central Natural,251.43,42,10560.06,2025-02-15,Moda,Nordeste,Boleto,0,Danielle Bishop,Online,Nenhuma,Eletrônicos,2,10560.06
"Johnson, Daniel and Wilson",Entire Offer,384.28,87,33432.36,2025-01-04,Acessórios,Rio de Janeiro,Pix,10,Victoria Gonzalez,Loja Física,Promoção de Natal,Casa e Decoração,1,33432.36
"James, Bowman and Ortega",Operation Those,403.64,61,24622.04,2025-01-14,Eletrônicos,Sul,Cartão de Crédito,0,Ronald Evans,Loja Física,Nenhuma,Casa e Decoração,1,24622.04
Santiago-Ross,Age Candidate,345.92,20,6918.4,2025-02-03,Acessórios,Sul,Pix,0,Joe Hodges,Loja Física,Liquidação de Verão,Casa e Decoração,2,6918.400000000001
Butler-Russell,Box From,428.93,89,38174.77,2025-02-16,Moda,São Paulo,Boleto,0,Billy Scott,Loja Física,Liquidação de Verão,Eletrônicos,2,38174.770000000004
Hart Ltd,Value Develop,497.63,97,48270.11,2025-02-22,Acessórios,Rio de Janeiro,Cartão de Crédito,0,Samuel Collins,Loja Física,Liquidação de Verão,Roupas,2,48270.11
Webb Ltd,Student Attention,213.22,87,18550.14,2025-01-14,Moda,São Paulo,Pix,0,Dylan Bates,Loja Física,Black Friday,Roupas,1,18550.14
"Dodson, Thompson and Willis",Strategy Evidence,246.64,100,24664.0,2025-02-17,Alimentos,Rio de Janeiro,Pix,20,Deborah Wilson,Online,Promoção de Natal,Casa e Decoração,2,24664.0
"Lowery, Steele and Lester",Week Wind,155.94,36,5613.84,2025-02-08,Moda,Rio de Janeiro,Pix,5,Matthew Phillips,Loja Física,Black Friday,Roupas,2,5613.84
"Harper, Foster and Green",Sound Agree,212.37,87,18476.19,2025-01-12,Eletrônicos,Sul,Boleto,5,Katie Watkins,Telemarketing,Black Friday,Casa e Decoração,1,18476.19
"Young, Montgomery and Jarvis",Government Choose,22.79,75,1709.25,2025-01-12,Moda,Sul,Cartão de Crédito,5,Keith Jensen,Online,Promoção de Natal,Eletrônicos,1,1709.25
Diaz Group,What None,338.17,27,9130.59,2025-01-31,Acessórios,São Paulo,Pix,0,Brittany Simpson,Loja Física,Promoção de Natal,Eletrônicos,1,9130.59
Rivers-Marshall,Do Off,413.95,41,16971.95,2025-01-18,Acessórios,Rio de Janeiro,Dinheiro,0,Beth Adams,Telemarketing,Black Friday,Eletrônicos,1,16971.95
Best Inc,Campaign Employee,367.51,84,30870.84,2025-01-30,Alimentos,Nordeste,Pix,5,Stephen Marquez,Loja Física,Liquidação de Verão,Saúde e Beleza,1,30870.84
"Williams, Ingram and Bell",Seem Statement,307.46,51,15680.46,2025-02-06,Acessórios,Nordeste,Cartão de Crédito,10,Ashley Jones,Online,Black Friday,Eletrônicos,2,15680.46
Turner Inc,Case Art,31.39,13,408.07,2025-02-03,Eletrônicos,Sul,Boleto,10,Robert Snyder,Telemarketing,Promoção de Natal,Saúde e Beleza,2,408.07
Mann-Duncan,Rather Ever,496.33,89,44173.37,2025-01-30,Acessórios,Nordeste,Cartão de Crédito,5,Margaret Gutierrez,Loja Física,Promoção de Natal,Casa e Decoração,1,44173.369999999995
"Jordan, Gonzalez and King",Add Show,380.99,88,33527.12,2025-01-10,Acessórios,São Paulo,Pix,5,Diane Lam,Online,Liquidação de Verão,Eletrônicos,1,33527.12
Fields Ltd,Forward Would,144.0,26,3744.0,2025-01-16,Alimentos,Rio de Janeiro,Dinheiro,10,Lisa Austin,Online,Nenhuma,Eletrônicos,1,3744.0
"Howard, Garza and Maldonado",Call Particular,187.24,76,14230.24,2025-01-12,Eletrônicos,Rio de Janeiro,Dinheiro,5,Kim Harris,Loja Física,Liquidação de Verão,Roupas,1,14230.240000000002
Jones-Castro,Democratic Modern,335.67,60,20140.2,2025-02-01,Acessórios,Rio de Janeiro,Boleto,0,Brittany Campos,Online,Black Friday,Eletrônicos,2,20140.2
Brown-Barnett,Everybody May,386.35,94,36316.9,2025-02-14,Moda,Rio de Janeiro,Pix,10,Michele Miller,Telemarketing,Black Friday,Eletrônicos,2,36316.9
Suarez-Orr,Develop Style,178.24,58,10337.92,2025-01-09,Acessórios,Sul,Pix,5,David Crawford,Telemarketing,Black Friday,Casa e Decoração,1,10337.92
Johnson-Black,Sister Career,231.35,19,4395.65,2025-01-19,Moda,Rio de Janeiro,Cartão de Crédito,5,Debra Thomas,Telemarketing,Black Friday,Saúde e Beleza,1,4395.65
Ross LLC,Condition Room,149.19,91,13576.29,2025-02-22,Alimentos,Nordeste,Dinheiro,10,Michael Hill,Loja Física,Black Friday,Eletrônicos,2,13576.289999999999
Long-Patrick,Under Five,50.77,64,3249.28,2025-02-15,Eletrônicos,Rio de Janeiro,Boleto,0,Susan Terry,Loja Física,Liquidação de Verão,Casa e Decoração,2,3249.28
Hunt and Sons,Measure Prevent,18.9,93,1757.7,2025-02-15,Eletrônicos,Nordeste,Cartão de Crédito,5,Jennifer Bender,Online,Nenhuma,Casa e Decoração,2,1757.6999999999998
Peterson-Nunez,Itself Painting,202.11,37,7478.07,2025-02-02,Alimentos,São Paulo,Boleto,10,Kari Collier,Loja Física,Promoção de Natal,Eletrônicos,2,7478.070000000001
Stevens-Simmons,Mention Reveal,36.67,96,3520.32,2025-01-30,Alimentos,Rio de Janeiro,Pix,20,Brenda Anderson,Telemarketing,Black Friday,Eletrônicos,1,3520.32
Thomas-Jones,As Turn,395.42,11,4349.62,2025-02-13,Acessórios,Rio de Janeiro,Dinheiro,10,Patrick Mooney,Telemarketing,Liquidação de Verão,Roupas,2,4349.62
Chapman Group,Director Return,58.48,87,5087.76,2025-02-23,Acessórios,Rio de Janeiro,Boleto,10,Laura Harvey,Loja Física,Black Friday,Roupas,2,5087.759999999999
Park Inc,International Career,240.17,57,13689.69,2025-01-10,Moda,Rio de Janeiro,Dinheiro,10,Joy Taylor,Telemarketing,Liquidação de Verão,Eletrônicos,1,13689.689999999999
Wolf-Gibson,Major Subject,281.74,88,24793.12,2025-01-30,Alimentos,Sul,Pix,10,Kevin Burgess,Telemarketing,Liquidação de Verão,Saúde e Beleza,1,24793.120000000003
"Farrell, Leach and Strong",First Week,20.47,88,1801.36,2025-02-18,Acessórios,Rio de Janeiro,Dinheiro,20,Felicia Graves,Telemarketing,Promoção de Natal,Roupas,2,1801.36
"Chaney, Ramirez and Smith",Factor Law,296.39,40,11855.6,2025-02-01,Alimentos,Sul,Cartão de Crédito,20,Emily Phillips,Telemarketing,Promoção de Natal,Saúde e Beleza,2,11855.599999999999
"Schneider, Garza and Kidd",Dinner Staff,463.37,26,12047.62,2025-02-10,Alimentos,São Paulo,Cartão de Crédito,20,Denise Martinez,Loja Física,Nenhuma,Saúde e Beleza,2,12047.62
Gibbs Group,Play Science,366.05,2,732.1,2025-01-22,Alimentos,Sul,Boleto,10,Christopher Watson,Online,Liquidação de Verão,Saúde e Beleza,1,732.1
Lam PLC,Difficult Full,12.63,15,189.45,2025-02-25,Moda,Sul,Boleto,20,Bianca Turner,Loja Física,Nenhuma,Roupas,2,189.45000000000002
Reyes Group,Process Interesting,371.52,73,27120.96,2025-01-04,Moda,Sul,Cartão de Crédito,20,Brandon Pierce,Telemarketing,Black Friday,Eletrônicos,1,27120.96
"Singh, Rivera and Mitchell",Very Fund,459.74,31,14251.94,2025-01-06,Acessórios,Rio de Janeiro,Boleto,20,Stanley Campbell,Online,Black Friday,Saúde e Beleza,1,14251.94
"Hardin, Ford and Harrell",Once Seat,386.83,38,14699.54,2025-02-25,Moda,Nordeste,Dinheiro,0,Lisa Mitchell,Online,Nenhuma,Roupas,2,14699.539999999999
"Chan, Hill and Rodriguez",Cell Particular,418.12,63,26341.56,2025-02-07,Alimentos,São Paulo,Boleto,0,Victoria Thomas,Online,Nenhuma,Roupas,2,26341.56
Russell-Hayes,Five Foreign,450.95,24,10822.8,2025-01-16,Eletrônicos,São Paulo,Pix,0,Vanessa Sanchez,Loja Física,Nenhuma,Casa e Decoração,1,10822.8
Brown-Santiago,West Us,441.41,84,37078.44,2025-01-18,Eletrônicos,Rio de Janeiro,Boleto,10,Alexander Logan,Telemarketing,Liquidação de Verão,Roupas,1,37078.44
Flores Group,Majority If,482.19,98,47254.62,2025-01-14,Eletrônicos,Sul,Pix,5,Amanda Pena,Loja Física,Promoção de Natal,Eletrônicos,1,47254.62
Melendez-Palmer,Project Series,265.9,77,20474.3,2025-02-02,Acessórios,Nordeste,Cartão de Crédito,20,Amanda Moon,Loja Física,Nenhuma,Saúde e Beleza,2,20474.3
Davenport-Robbins,End Toward,269.57,30,8087.1,2025-02-05,Acessórios,Rio de Janeiro,Pix,0,Nathan Romero,Online,Black Friday,Saúde e Beleza,2,8087.099999999999
Beck-Ibarra,Sign Table,356.4,72,25660.8,2025-02-26,Acessórios,Rio de Janeiro,Boleto,0,Andrea Phillips,Loja Física,Promoção de Natal,Eletrônicos,2,25660.8
Acevedo-White,Dog Though,133.21,85,11322.85,2025-02-22,Alimentos,Nordeste,Boleto,0,Andrea Campbell,Loja Física,Liquidação de Verão,Eletrônicos,2,11322.85
Williams-West,Newspaper Example,428.64,91,39006.24,2025-01-07,Alimentos,São Paulo,Pix,10,Barbara Lopez,Loja Física,Nenhuma,Roupas,1,39006.24
"Grant, Gomez and Flores",Across Reflect,65.19,26,1694.94,2025-02-26,Acessórios,Nordeste,Pix,20,Sue Ross,Telemarketing,Nenhuma,Roupas,2,1694.94
"Brown, Owen and Johnson",Better Account,218.99,82,17957.18,2025-01-12,Alimentos,Sul,Dinheiro,5,Christopher Frederick,Loja Física,Nenhuma,Saúde e Beleza,1,17957.18
Pruitt Ltd,Term Talk,52.33,24,1255.92,2025-01-30,Acessórios,Nordeste,Pix,20,Harry Ramsey,Online,Black Friday,Saúde e Beleza,1,1255.92
"Figueroa, Adkins and Houston",Drive Theory,80.35,26,2089.1,2025-02-02,Moda,São Paulo,Boleto,20,Sonia Downs,Online,Nenhuma,Roupas,2,2089.1
Andrews-Baker,Manager Night,279.79,22,6155.38,2025-02-24,Acessórios,São Paulo,Boleto,20,Shari Randall,Online,Nenhuma,Casa e Decoração,2,6155.38
Pace-Ortiz,Positive Candidate,440.11,80,35208.8,2025-01-29,Eletrônicos,Nordeste,Dinheiro,20,Edward Watkins,Online,Promoção de Natal,Roupas,1,35208.8
Nguyen Ltd,Shake Crime,21.76,74,1610.24,2025-02-06,Moda,Sul,Boleto,10,Elizabeth Weaver,Loja Física,Promoção de Natal,Casa e Decoração,2,1610.24
Riddle-Harris,Provide Skin,179.62,46,8262.52,2025-01-15,Moda,Nordeste,Boleto,0,Patrick Johnson,Loja Física,Nenhuma,Roupas,1,8262.52
Nelson Group,Treatment Above,194.42,65,12637.3,2025-02-07,Moda,Sul,Pix,20,Jennifer Smith,Online,Nenhuma,Roupas,2,12637.3
Daniel LLC,Top Big,485.3,84,40765.2,2025-01-19,Eletrônicos,Nordeste,Boleto,10,Dustin Smith,Telemarketing,Liquidação de Verão,Roupas,1,40765.200000000004
Osborne Group,Throw Size,386.44,4,1545.76,2025-02-03,Alimentos,Sul,Dinheiro,10,Juan Williamson,Telemarketing,Nenhuma,Casa e Decoração,2,1545.76
Lambert Inc,Various Month,339.15,78,26453.7,2025-01-15,Eletrônicos,Sul,Pix,10,Travis Bray PhD,Telemarketing,Promoção de Natal,Saúde e Beleza,1,26453.699999999997
Cooper-Powell,Different Eye,477.39,44,21005.16,2025-02-03,Acessórios,Nordeste,Dinheiro,0,Victoria Weber,Loja Física,Nenhuma,Casa e Decoração,2,21005.16
Carrillo-Adams,That Dream,392.78,25,9819.5,2025-02-15,Moda,Nordeste,Cartão de Crédito,0,Megan Reed,Telemarketing,Liquidação de Verão,Eletrônicos,2,9819.5
"Rosario, Anderson and Campbell",Myself Dog,494.31,39,19278.09,2025-02-04,Alimentos,São Paulo,Pix,20,Michelle Porter,Telemarketing,Promoção de Natal,Saúde e Beleza,2,19278.09
Perry and Sons,Thus Many,326.22,11,3588.42,2025-01-14,Alimentos,São Paulo,Dinheiro,5,Jessica Acevedo,Online,Black Friday,Eletrônicos,1,3588.42
Warren Inc,Foot His,22.29,88,1961.52,2025-02-15,Acessórios,Sul,Pix,5,Travis White,Telemarketing,Black Friday,Roupas,2,1961.52
"Hughes, Diaz and Douglas",Action Him,405.67,34,13792.78,2025-01-24,Acessórios,Nordeste,Dinheiro,20,Andrew Sanchez,Loja Física,Nenhuma,Casa e Decoração,1,13792.78
Salinas-Day,Degree Expert,468.2,61,28560.2,2025-01-03,Acessórios,Nordeste,Cartão de Crédito,5,Noah Jordan,Loja Física,Liquidação de Verão,Roupas,1,28560.2
"Gill, Lynch and Thompson",Range Company,421.26,62,26118.12,2025-01-02,Moda,São Paulo,Pix,5,Thomas Hurley,Online,Liquidação de Verão,Roupas,1,26118.12
"House, Schmidt and Dean",Civil Recognize,244.51,26,6357.26,2025-02-21,Acessórios,Sul,Boleto,5,Alan Cooper,Loja Física,Nenhuma,Casa e Decoração,2,6357.26
Porter-Olson,Similar Chance,16.53,80,1322.4,2025-02-23,Eletrônicos,São Paulo,Cartão de Crédito,0,Kevin Gates,Loja Física,Nenhuma,Saúde e Beleza,2,1322.4
Carter-Holmes,Give Vote,453.35,45,20400.75,2025-01-01,Acessórios,Sul,Cartão de Crédito,0,Jaime Rose,Online,Black Friday,Casa e Decoração,1,20400.75
Martin Ltd,Clear Leader,295.54,87,25711.98,2025-02-21,Acessórios,Rio de Janeiro,Cartão de Crédito,0,Courtney Hill,Online,Nenhuma,Roupas,2,25711.980000000003
"Garrett, Norris and Walker",Experience Growth,480.16,5,2400.8,2025-02-13,Alimentos,Nordeste,Dinheiro,20,Ryan Howard,Online,Black Friday,Saúde e Beleza,2,2400.8
Coleman-Silva,Alone Marriage,314.27,95,29855.65,2025-02-16,Eletrônicos,Sul,Pix,10,Colleen Martinez,Telemarketing,Nenhuma,Eletrônicos,2,29855.649999999998
"Rodgers, Lambert and Franklin",Space Middle,406.09,82,33299.38,2025-02-25,Eletrônicos,São Paulo,Boleto,0,Andrew Campbell,Loja Física,Promoção de Natal,Saúde e Beleza,2,33299.38
Quinn-Oneal,Mr Like,379.0,91,34489.0,2025-02-01,Eletrônicos,São Paulo,Dinheiro,20,Andrea Swanson,Telemarketing,Liquidação de Verão,Saúde e Beleza,2,34489.0
"Torres, Johnston and Martinez",Return Maintain,188.02,40,7520.8,2025-01-02,Acessórios,Nordeste,Boleto,0,Brandon Tran,Online,Promoção de Natal,Roupas,1,7520.8
"Butler, Gutierrez and Turner",Positive Them,271.33,82,22249.06,2025-01-17,Moda,Rio de Janeiro,Boleto,0,Brittany Drake,Telemarketing,Nenhuma,Saúde e Beleza,1,22249.059999999998
Jones-Johnson,Several Fall,412.39,68,28042.52,2025-01-17,Eletrônicos,São Paulo,Dinheiro,0,Brittany Mejia,Online,Black Friday,Saúde e Beleza,1,28042.52
"Becker, White and Burke",Camera Deep,388.87,8,3110.96,2025-01-18,Moda,São Paulo,Cartão de Crédito,20,Michael Mccarthy,Online,Black Friday,Roupas,1,3110.96
Patton LLC,Role Structure,123.84,34,4210.56,2025-01-03,Eletrônicos,São Paulo,Dinheiro,0,Charles Ortiz,Online,Promoção de Natal,Casa e Decoração,1,4210.56
Terry LLC,Case Next,42.19,35,1476.65,2025-02-24,Moda,São Paulo,Cartão de Crédito,0,Karen Wood,Online,Promoção de Natal,Eletrônicos,2,1476.6499999999999
Payne-Brown,Century Dinner,267.81,73,19550.13,2025-02-14,Acessórios,Sul,Cartão de Crédito,0,Adam Miller,Loja Física,Black Friday,Roupas,2,19550.13
Carey-Rodriguez,Will Hear,344.91,62,21384.42,2025-01-27,Alimentos,São Paulo,Boleto,10,Jenna Johnson,Online,Nenhuma,Saúde e Beleza,1,21384.420000000002
Page LLC,Order Break,160.5,56,8988.0,2025-01-10,Acessórios,Rio de Janeiro,Cartão de Crédito,0,Angela Jones,Telemarketing,Promoção de Natal,Eletrônicos,1,8988.0
"Parker, Manning and Marsh",Eye On,217.97,90,19617.3,2025-02-17,Moda,Rio de Janeiro,Cartão de Crédito,10,Lindsey Terrell MD,Loja Física,Liquidação de Verão,Saúde e Beleza,2,19617.3
"Mclaughlin, Daniel and Rice",City Forget,189.09,58,10967.22,2025-01-10,Acessórios,Nordeste,Boleto,10,Victoria Martinez,Telemarketing,Liquidação de Verão,Saúde e Beleza,1,10967.22
"Marshall, Page and Kelly",Reason Exactly,469.33,15,7039.95,2025-01-07,Moda,Rio de Janeiro,Pix,20,Robert Gardner,Loja Física,Liquidação de Verão,Casa e Decoração,1,7039.95
"King, Phillips and White",Option Information,41.07,51,2094.57,2025-01-30,Alimentos,São Paulo,Pix,5,Megan Taylor,Loja Física,Black Friday,Casa e Decoração,1,2094.57
"Jackson, Rodriguez and Rodriguez",Single Concern,379.38,66,25039.08,2025-01-19,Moda,Nordeste,Pix,20,John Hines,Loja Física,Nenhuma,Eletrônicos,1,25039.079999999998
Robinson and Sons,School Thought,277.09,62,17179.58,2025-01-17,Acessórios,Nordeste,Cartão de Crédito,0,Darryl Bell,Online,Liquidação de Verão,Roupas,1,17179.579999999998
Roman Ltd,Get Kid,218.07,85,18535.95,2025-01-17,Eletrônicos,Sul,Dinheiro,0,Joshua Davis,Telemarketing,Black Friday,Casa e Decoração,1,18535.95
Rodriguez Inc,Accept Represent,46.46,26,1207.96,2025-01-02,Acessórios,Nordeste,Dinheiro,5,Kurt Santiago,Online,Liquidação de Verão,Roupas,1,1207.96
Sullivan-Harper,Candidate Human,430.2,4,1720.8,2025-02-13,Alimentos,Sul,Boleto,5,Matthew Dickerson,Online,Black Friday,Roupas,2,1720.8
Perez-Collins,Building Social,90.15,24,2163.6,2025-01-12,Alimentos,Nordeste,Pix,5,Jeanne Ibarra,Telemarketing,Black Friday,Roupas,1,2163.6000000000004
Cook PLC,Offer From,29.4,96,2822.4,2025-01-08,Moda,São Paulo,Pix,0,Jerry Collins,Telemarketing,Promoção de Natal,Saúde e Beleza,1,2822.3999999999996
Martin Ltd,Pull American,55.73,71,3956.83,2025-01-24,Eletrônicos,Sul,Boleto,20,Nicholas Hayes,Online,Promoção de Natal,Casa e Decoração,1,3956.83
Bell PLC,Big Style,393.75,54,21262.5,2025-02-13,Eletrônicos,Rio de Janeiro,Pix,5,John Hill,Online,Promoção de Natal,Roupas,2,21262.5
Mccullough-Cole,Commercial Democrat,21.29,32,681.28,2025-02-16,Moda,São Paulo,Boleto,5,Tiffany Keller,Online,Liquidação de Verão,Eletrônicos,2,681.28
"Parker, Rogers and Martinez",Friend Writer,384.01,10,3840.1,2025-01-14,Moda,Sul,Pix,0,Cheryl Moore,Telemarketing,Nenhuma,Eletrônicos,1,3840.1
Garza-Nielsen,I Story,76.17,86,6550.62,2025-01-20,Eletrônicos,Sul,Pix,20,Mr. Joshua Shelton,Loja Física,Black Friday,Casa e Decoração,1,6550.62
Edwards-Barnes,Experience Management,407.52,82,33416.64,2025-01-18,Moda,Rio de Janeiro,Cartão de Crédito,10,Denise Douglas,Loja Física,Liquidação de Verão,Roupas,1,33416.64
Lloyd-Kelly,Assume Player,458.45,42,19254.9,2025-02-16,Moda,Sul,Dinheiro,20,Sarah Hicks,Telemarketing,Promoção de Natal,Roupas,2,19254.899999999998
Morales and Sons,See Piece,58.4,80,4672.0,2025-01-25,Alimentos,Nordeste,Pix,10,Tyler Baker,Online,Nenhuma,Roupas,1,4672.0
"Lopez, Foley and Weiss",Push Place,392.08,66,25877.28,2025-01-11,Acessórios,Rio de Janeiro,Dinheiro,20,Stephanie Bond,Loja Física,Promoção de Natal,Casa e Decoração,1,25877.28
